Device,Status,Start Datetime,End Datetime,latitude,longitude,Length (mi),Top speed (mph),Avg Speed (mph),Engine Idle in Minutes,Duration in Minutes
#1,Stopped,04/25/2024 07:39,04/25/2024 07:47,35.876144,-78.793143,,,,8.266666666666667,8.266666666666667
#1,Moving,04/25/2024 07:47,04/25/2024 07:52,,,2.0,53.0,25.9,,4.566666666666666
#1,Stopped,04/25/2024 07:52,04/25/2024 08:02,35.860277,-78.820781,,,,1.5833333333333335,10.25
#1,Moving,04/25/2024 08:02,04/25/2024 08:29,,,9.8,60.5,21.7,,27.066666666666666
#1,Stopped,04/25/2024 08:29,04/25/2024 08:47,35.860317,-78.820822,,,,2.15,17.833333333333332
#1,Moving,04/25/2024 08:47,04/25/2024 09:18,,,9.9,58.2,19.3,,30.85
#1,Stopped,04/25/2024 09:18,04/25/2024 09:37,35.860336,-78.820822,,,,1.2833333333333332,19.183333333333334
#1,Moving,04/25/2024 09:37,04/25/2024 09:48,,,3.5,54.7,19.5,,10.816666666666666
#1,Stopped,04/25/2024 09:48,04/25/2024 10:54,35.860304,-78.820832,,,,0.2833333333333333,65.56666666666666
#1,Moving,04/25/2024 10:54,04/25/2024 11:13,,,9.3,64.7,28.6,,19.483333333333334
#1,Stopped,04/25/2024 11:13,04/25/2024 11:31,35.860289,-78.820801,,,,0.7833333333333333,18.233333333333334
#1,Moving,04/25/2024 11:31,04/25/2024 11:42,,,4.7,67.6,26.1,,10.7
#1,Stopped,04/25/2024 11:42,04/25/2024 11:55,35.860309,-78.820841,,,,0.65,12.866666666666667
#1,Moving,04/25/2024 11:55,04/25/2024 12:07,,,4.7,57.0,23.2,,12.1
#1,Stopped,04/25/2024 12:07,04/25/2024 12:40,35.860368,-78.820856,,,,1.4833333333333334,32.93333333333333
#1,Moving,04/25/2024 12:40,04/25/2024 12:52,,,6.3,56.9,31.1,,12.15
#1,Stopped,04/25/2024 12:52,04/25/2024 16:32,35.860302,-78.820845,,,,17.116666666666667,219.96666666666667
#1,Moving,04/25/2024 16:32,04/25/2024 16:48,,,3.9,45.9,14.4,,15.966666666666667
#1,Stopped,04/25/2024 16:48,04/25/2024 18:08,35.86031,-78.820847,,,,3.0166666666666666,79.81666666666666
#1,Moving,04/25/2024 18:08,04/25/2024 18:21,,,3.9,52.2,17.0,,13.45
#1,Stopped,04/25/2024 18:21,04/25/2024 19:35,35.8603,-78.820811,,,,1.9666666666666668,74.03333333333333
#1,Moving,04/25/2024 19:35,04/25/2024 19:54,,,5.2,45.8,16.1,,19.083333333333332
#1,Stopped,04/25/2024 19:54,04/25/2024 20:15,35.860307,-78.820854,,,,1.0,20.733333333333334
#1,Moving,04/25/2024 20:15,04/25/2024 20:26,,,1.0,36.9,5.4,,11.033333333333333
#1,Stopped,04/25/2024 20:26,04/25/2024 22:27,35.860316,-78.820837,,,,0.31666666666666665,121.03333333333333
#1,Moving,04/25/2024 22:27,04/25/2024 22:46,,,6.0,51.7,19.4,,18.483333333333334
#1,Stopped,04/25/2024 22:46,04/25/2024 23:37,35.86031,-78.820848,,,,1.2333333333333334,51.0
#2,Stopped,04/25/2024 00:09,04/25/2024 04:03,35.860173,-78.821364,,,,0.06666666666666667,267.4
#2,Moving,04/25/2024 04:03,04/25/2024 04:20,,,4.8,58.8,17.3,,16.466666666666665
#2,Stopped,04/25/2024 04:20,04/25/2024 11:06,35.860246,-78.821385,,,,1.9833333333333334,406.23333333333335
#2,Moving,04/25/2024 11:06,04/25/2024 11:19,,,6.2,48.2,28.3,,12.95
#2,Stopped,04/25/2024 11:19,04/25/2024 11:27,35.793274,-78.84571,,,,1.1166666666666667,8.383333333333333
#2,Moving,04/25/2024 11:27,04/25/2024 11:35,,,3.2,50.3,25.9,,7.416666666666667
